id;runId;repetitionId;repetition;order;seed;questionOrder;conditionOrder;orderStrategy;questionId;condition;retrieval;engine;autoScore;manualScore;blindA;blindB;latencyMs;latencyScope;prepareMs;retrievalMs;generationMs;contextChars;evidenceRecall;evidencePrecision;retrievedIds;timestamp;executionEnvironment;generationMetrics;modelProvenance;answer
t_klk9hy33mrsmth5f;run_mrsmtfho_e43f3c5f;run_mrsmtfho_e43f3c5f_r1;1;1;20260616;1;1;seeded-question-shuffle+cyclic-condition-counterbalance-v1;q26;vector;dense;ollama:qwen3:8b;falsch;;;;1967.87;end-to-end;17.72;17.55;1950.15;2037;0.25;0.25;fichte|berliner_vorlesungen|schelling|schopenhauer;1784516112915;"{""capturedAt"":1784516110947,""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de"",""origin"":""http://localhost:4173"",""hardwareConcurrency"":16,""deviceMemoryGiB"":32,""webgpu"":true}";"{""ttftMs"":994.5,""promptTokens"":812,""completionTokens"":75,""tokensPerSecond"":78.5,""modelLoadMs"":139.8,""promptEvalMs"":845.1,""modelTotalMs"":1947.5}";"{""provider"":""ollama"",""model"":""qwen3:8b"",""digest"":""500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41"",""runtime"":""Ollama 0.32.1"",""endpoint"":""http://127.0.0.1:11434"",""parameterSize"":""8.2B"",""quantization"":""Q4_K_M"",""modelSizeBytes"":5225388164,""residentVramBytes"":5569815510,""parameters"":{""temperature"":0,""seed"":42,""numCtx"":4096,""numPredict"":160,""think"":false,""keepAlive"":""30m""}}";Der Nachfolger auf dem Berliner Lehrstuhl des Philosophen, dessen Jenaer Professur im Atheismusstreit endete (Fichte), war Schelling. Sein Berliner Hauptwerk zur praktischen Philosophie ist die „Philosophie der Offenbarung“ aus den Vorlesungen von 1841.
t_hqjo9fd9mrsmtkot;run_mrsmtfho_e43f3c5f;run_mrsmtfho_e43f3c5f_r1;1;2;20260616;1;2;seeded-question-shuffle+cyclic-condition-counterbalance-v1;q26;graph;dense;ollama:qwen3:8b;korrekt;;;;4585.2;end-to-end;1.56;1.52;4583.65;6624;1;0.3333333333333333;atheismusstreit|fichte|uni_jena|jacobi|hegel|reinhold|wissenschaftslehre|goethe|rechtsphilosophie|berliner_vorlesungen|phaenomenologie|logik;1784516117501;"{""capturedAt"":1784516110947,""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de"",""origin"":""http://localhost:4173"",""hardwareConcurrency"":16,""deviceMemoryGiB"":32,""webgpu"":true}";"{""ttftMs"":3637.2,""promptTokens"":2193,""completionTokens"":71,""tokensPerSecond"":75,""modelLoadMs"":141.6,""promptEvalMs"":3447.1,""modelTotalMs"":4581.9}";"{""provider"":""ollama"",""model"":""qwen3:8b"",""digest"":""500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41"",""runtime"":""Ollama 0.32.1"",""endpoint"":""http://127.0.0.1:11434"",""parameterSize"":""8.2B"",""quantization"":""Q4_K_M"",""modelSizeBytes"":5225388164,""residentVramBytes"":5569815510,""parameters"":{""temperature"":0,""seed"":42,""numCtx"":4096,""numPredict"":160,""think"":false,""keepAlive"":""30m""}}";Georg Wilhelm Friedrich Hegel verfasste das Berliner Hauptwerk zur praktischen Philosophie »Grundlinien der Philosophie des Rechts«. Er war der Nachfolger auf dem Berliner Lehrstuhl von Johann Gottlieb Fichte, dessen Jenaer Professur im Atheismusstreit endete.
t_91y1i6pmmrsmtngu;run_mrsmtfho_e43f3c5f;run_mrsmtfho_e43f3c5f_r1;1;3;20260616;2;1;seeded-question-shuffle+cyclic-condition-counterbalance-v1;q39;graph;dense;ollama:qwen3:8b;korrekt;;;;3601.14;end-to-end;0.69;0.67;3600.46;6064;0.6666666666666666;0.16666666666666666;ding_an_sich|kant|schopenhauer|wwv|jacobi|krv|kategorischer_imperativ|transzendentalphilosophie|koenigsberg|deutscher_idealismus|grundlegung|herder;1784516121102;"{""capturedAt"":1784516110947,""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de"",""origin"":""http://localhost:4173"",""hardwareConcurrency"":16,""deviceMemoryGiB"":32,""webgpu"":true}";"{""ttftMs"":3030.2,""promptTokens"":1945,""completionTokens"":44,""tokensPerSecond"":77.1,""modelLoadMs"":144.1,""promptEvalMs"":2790.7,""modelTotalMs"":3598.8}";"{""provider"":""ollama"",""model"":""qwen3:8b"",""digest"":""500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41"",""runtime"":""Ollama 0.32.1"",""endpoint"":""http://127.0.0.1:11434"",""parameterSize"":""8.2B"",""quantization"":""Q4_K_M"",""modelSizeBytes"":5225388164,""residentVramBytes"":5569815510,""parameters"":{""temperature"":0,""seed"":42,""numCtx"":4096,""numPredict"":160,""think"":false,""keepAlive"":""30m""}}";Arthur Schopenhauer prägte den Begriff des Dings an sich als »Wille«. Der spätere Philosoph Friedrich Nietzsche wurde maßgeblich von Schopenhauer geprägt.
t_v078u9womrsmtobe;run_mrsmtfho_e43f3c5f;run_mrsmtfho_e43f3c5f_r1;1;4;20260616;2;2;seeded-question-shuffle+cyclic-condition-counterbalance-v1;q39;vector;dense;ollama:qwen3:8b;enthaltung;;;;1099.41;end-to-end;14.06;14.05;1085.34;1747;0.6666666666666666;0.5;ding_an_sich|hume|schopenhauer|transzendentalphilosophie;1784516122202;"{""capturedAt"":1784516110947,""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de"",""origin"":""http://localhost:4173"",""hardwareConcurrency"":16,""deviceMemoryGiB"":32,""webgpu"":true}";"{""ttftMs"":786,""promptTokens"":662,""completionTokens"":24,""tokensPerSecond"":80,""modelLoadMs"":142.5,""promptEvalMs"":530.6,""modelTotalMs"":1083.2}";"{""provider"":""ollama"",""model"":""qwen3:8b"",""digest"":""500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41"",""runtime"":""Ollama 0.32.1"",""endpoint"":""http://127.0.0.1:11434"",""parameterSize"":""8.2B"",""quantization"":""Q4_K_M"",""modelSizeBytes"":5225388164,""residentVramBytes"":5569815510,""parameters"":{""temperature"":0,""seed"":42,""numCtx"":4096,""numPredict"":160,""think"":false,""keepAlive"":""30m""}}";Arthur Schopenhauer prägte Nietzsche, Wagner und Freud. Dazu habe ich keine gesicherte Information.
t_c1zgx379mrsmtpfa;run_mrsmtfho_e43f3c5f;run_mrsmtfho_e43f3c5f_r1;1;5;20260616;3;1;seeded-question-shuffle+cyclic-condition-counterbalance-v1;q38;vector;dense;ollama:qwen3:8b;korrekt;;;;1436.19;end-to-end;17.52;17.49;1418.67;1623;1;0.75;schlacht_jena|uni_jena|phaenomenologie|franzoesische_revolution;1784516123638;"{""capturedAt"":1784516110947,""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de"",""origin"":""http://localhost:4173"",""hardwareConcurrency"":16,""deviceMemoryGiB"":32,""webgpu"":true}";"{""ttftMs"":733.2,""promptTokens"":648,""completionTokens"":55,""tokensPerSecond"":80.2,""modelLoadMs"":158.3,""promptEvalMs"":527.6,""modelTotalMs"":1416.5}";"{""provider"":""ollama"",""model"":""qwen3:8b"",""digest"":""500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41"",""runtime"":""Ollama 0.32.1"",""endpoint"":""http://127.0.0.1:11434"",""parameterSize"":""8.2B"",""quantization"":""Q4_K_M"",""modelSizeBytes"":5225388164,""residentVramBytes"":5569815510,""parameters"":{""temperature"":0,""seed"":42,""numCtx"":4096,""numPredict"":160,""think"":false,""keepAlive"":""30m""}}";Die Schlacht bei Jena und Auerstedt am 14. Oktober 1806 leitete den Niedergang der Universität Jena ein, während Hegel dort die »Phänomenologie des Geistes« vollendete.
t_9fti7w0wmrsmttuf;run_mrsmtfho_e43f3c5f;run_mrsmtfho_e43f3c5f_r1;1;6;20260616;3;2;seeded-question-shuffle+cyclic-condition-counterbalance-v1;q38;graph;dense;ollama:qwen3:8b;korrekt;;;;5727.98;end-to-end;2.02;1.99;5725.96;8025;1;0.21428571428571427;phaenomenologie|uni_jena|hegel|schlacht_jena|fruehromantik|uni_heidelberg|uni_berlin|enzyklopaedie|fichte|schelling|novalis|reinhold|atheismusstreit|goethe;1784516129367;"{""capturedAt"":1784516110947,""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de"",""origin"":""http://localhost:4173"",""hardwareConcurrency"":16,""deviceMemoryGiB"":32,""webgpu"":true}";"{""ttftMs"":5046.3,""promptTokens"":2661,""completionTokens"":51,""tokensPerSecond"":75,""modelLoadMs"":142.2,""promptEvalMs"":4851.6,""modelTotalMs"":5724}";"{""provider"":""ollama"",""model"":""qwen3:8b"",""digest"":""500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41"",""runtime"":""Ollama 0.32.1"",""endpoint"":""http://127.0.0.1:11434"",""parameterSize"":""8.2B"",""quantization"":""Q4_K_M"",""modelSizeBytes"":5225388164,""residentVramBytes"":5569815510,""parameters"":{""temperature"":0,""seed"":42,""numCtx"":4096,""numPredict"":160,""think"":false,""keepAlive"":""30m""}}";Die Schlacht bei Jena und Auerstedt im Oktober 1806 leitete den Niedergang der Universität Jena ein, während Hegel dort die »Phänomenologie des Geistes« vollendete.
t_ogp008t7mrsmtxgb;run_mrsmtfho_e43f3c5f;run_mrsmtfho_e43f3c5f_r1;1;7;20260616;4;1;seeded-question-shuffle+cyclic-condition-counterbalance-v1;q32;graph;dense;ollama:qwen3:8b;korrekt;;;;4675.86;end-to-end;5.81;5.79;4670.05;7817;;;spinoza|transzendentalphilosophie|hegel|pantheismusstreit|schelling|goethe|fichte|berliner_vorlesungen|stuttgart|tuebinger_stift|kant|wissenschaftslehre|reinhold|uni_jena;1784516134043;"{""capturedAt"":1784516110947,""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de"",""origin"":""http://localhost:4173"",""hardwareConcurrency"":16,""deviceMemoryGiB"":32,""webgpu"":true}";"{""ttftMs"":4534.8,""promptTokens"":2504,""completionTokens"":11,""tokensPerSecond"":81,""modelLoadMs"":136.3,""promptEvalMs"":4245.4,""modelTotalMs"":4668.2}";"{""provider"":""ollama"",""model"":""qwen3:8b"",""digest"":""500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41"",""runtime"":""Ollama 0.32.1"",""endpoint"":""http://127.0.0.1:11434"",""parameterSize"":""8.2B"",""quantization"":""Q4_K_M"",""modelSizeBytes"":5225388164,""residentVramBytes"":5569815510,""parameters"":{""temperature"":0,""seed"":42,""numCtx"":4096,""numPredict"":160,""think"":false,""keepAlive"":""30m""}}";Dazu habe ich keine gesicherte Information.
t_vn4tjoo2mrsmty3w;run_mrsmtfho_e43f3c5f;run_mrsmtfho_e43f3c5f_r1;1;8;20260616;4;2;seeded-question-shuffle+cyclic-condition-counterbalance-v1;q32;vector;dense;ollama:qwen3:8b;korrekt;;;;848.88;end-to-end;8.61;8.59;840.26;1602;;;krv|phaenomenologie|einzige|logik;1784516134892;"{""capturedAt"":1784516110947,""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de"",""origin"":""http://localhost:4173"",""hardwareConcurrency"":16,""deviceMemoryGiB"":32,""webgpu"":true}";"{""ttftMs"":713.6,""promptTokens"":597,""completionTokens"":11,""tokensPerSecond"":86.5,""modelLoadMs"":147.1,""promptEvalMs"":438.7,""modelTotalMs"":838.3}";"{""provider"":""ollama"",""model"":""qwen3:8b"",""digest"":""500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41"",""runtime"":""Ollama 0.32.1"",""endpoint"":""http://127.0.0.1:11434"",""parameterSize"":""8.2B"",""quantization"":""Q4_K_M"",""modelSizeBytes"":5225388164,""residentVramBytes"":5569815510,""parameters"":{""temperature"":0,""seed"":42,""numCtx"":4096,""numPredict"":160,""think"":false,""keepAlive"":""30m""}}";Dazu habe ich keine gesicherte Information.
t_m0lnsg2hmrsmtyy6;run_mrsmtfho_e43f3c5f;run_mrsmtfho_e43f3c5f_r1;1;9;20260616;5;1;seeded-question-shuffle+cyclic-condition-counterbalance-v1;q40;vector;dense;ollama:qwen3:8b;teilweise;;;;1089.23;end-to-end;12.35;12.32;1076.88;1674;0.6666666666666666;0.5;marx|junghegelianer|stirner|kapital;1784516135982;"{""capturedAt"":1784516110947,""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de"",""origin"":""http://localhost:4173"",""hardwareConcurrency"":16,""deviceMemoryGiB"":32,""webgpu"":true}";"{""ttftMs"":743.2,""promptTokens"":682,""completionTokens"":27,""tokensPerSecond"":80.9,""modelLoadMs"":139.8,""promptEvalMs"":559.8,""modelTotalMs"":1074.4}";"{""provider"":""ollama"",""model"":""qwen3:8b"",""digest"":""500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41"",""runtime"":""Ollama 0.32.1"",""endpoint"":""http://127.0.0.1:11434"",""parameterSize"":""8.2B"",""quantization"":""Q4_K_M"",""modelSizeBytes"":5225388164,""residentVramBytes"":5569815510,""parameters"":{""temperature"":0,""seed"":42,""numCtx"":4096,""numPredict"":160,""think"":false,""keepAlive"":""30m""}}";Bruno Bauer und Ludwig Feuerbach gehörten neben Karl Marx zum Berliner Kreis der Junghegelianer.
t_kkyr2ujmmrsmu34f;run_mrsmtfho_e43f3c5f;run_mrsmtfho_e43f3c5f_r1;1;10;20260616;5;2;seeded-question-shuffle+cyclic-condition-counterbalance-v1;q40;graph;dense;ollama:qwen3:8b;teilweise;;;;5409.01;end-to-end;1.93;1.91;5407.08;8180;0.6666666666666666;0.14285714285714285;junghegelianer|marx|bauer|hegel|feuerbach|wesen_christentums|berliner_vorlesungen|fichte|spinoza|schelling|reinhold|uni_berlin|engels|kierkegaard;1784516141391;"{""capturedAt"":1784516110947,""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de"",""origin"":""http://localhost:4173"",""hardwareConcurrency"":16,""deviceMemoryGiB"":32,""webgpu"":true}";"{""ttftMs"":5039.8,""promptTokens"":2688,""completionTokens"":28,""tokensPerSecond"":76.2,""modelLoadMs"":140.4,""promptEvalMs"":4840.7,""modelTotalMs"":5405.3}";"{""provider"":""ollama"",""model"":""qwen3:8b"",""digest"":""500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41"",""runtime"":""Ollama 0.32.1"",""endpoint"":""http://127.0.0.1:11434"",""parameterSize"":""8.2B"",""quantization"":""Q4_K_M"",""modelSizeBytes"":5225388164,""residentVramBytes"":5569815510,""parameters"":{""temperature"":0,""seed"":42,""numCtx"":4096,""numPredict"":160,""think"":false,""keepAlive"":""30m""}}";Zwei weitere Köpfe aus dem Berliner Kreis der Junghegelianer sind Bruno Bauer und Ludwig Feuerbach.
